@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute ~-1 numeric
@attribute ~-2 numeric
@attribute ~-3 numeric
@attribute ~-4 numeric
@attribute ~-5 numeric
@attribute ~-6 numeric
@attribute ~-7 numeric
@attribute ~-8 numeric
@attribute ~-9 numeric
@attribute ~-10 numeric
@attribute ~-11 numeric
@attribute ~-12 numeric
@attribute ~-13 numeric
@attribute ~-14 numeric
@attribute ~-15 numeric
@attribute ~-16 numeric
@attribute ~-17 numeric
@attribute ~-18 numeric
@attribute ~-19 numeric
@attribute ~-20 numeric
@attribute ~-21 numeric
@attribute ~-22 numeric
@attribute ~-23 numeric
@attribute ~-24 numeric
@attribute ~-25 numeric
@attribute ~-26 numeric
@attribute ~-27 numeric
@attribute ~-28 numeric
@attribute ~-29 numeric
@attribute ~-30 numeric
@attribute ~-31 numeric
@attribute ~-32 numeric
@attribute ~-33 numeric
@attribute ~-34 numeric
@attribute ~-35 numeric
@attribute ~-36 numeric
@attribute ~-37 numeric
@attribute ~-38 numeric
@attribute ~-39 numeric
@attribute ~-40 numeric
@attribute ~-41 numeric
@attribute ~-42 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric

@data
2736,'2024/11/28 11:20:07:112',9,0.798833,0.739089,0.70282,0.68398,0.650564,0.745341,0.729802,0.719948,0.715007,0.794488,0.802534,0.808859,0.814251,0.835977,0.858511,0.875401,0.887386,0.871746,0.898103,0.918151,0.933823,0.863787,0.809626,0.708225,0.614554,0.546271,0.552141,0.426769,0.346126,0.267509,0.539087,0.392173,0.295476,0.203367,0.560917,0.429015,0.336451,0.249074,0.604907,0.499763,0.43046,0.363553,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2737,'2024/11/28 11:20:07:147',9,0.795994,0.734406,0.696603,0.678136,0.64414,0.742137,0.725446,0.715544,0.710423,0.790676,0.797489,0.802763,0.807407,0.83237,0.853698,0.870479,0.882345,0.868152,0.894154,0.913142,0.928325,0.85944,0.805425,0.704677,0.609032,0.539874,0.545839,0.420358,0.338775,0.259524,0.531226,0.382177,0.282415,0.188216,0.552027,0.418641,0.324603,0.236462,0.595557,0.488973,0.416761,0.346628,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2738,'2024/11/28 11:20:07:184',9,0.791858,0.730763,0.692865,0.673375,0.637038,0.736291,0.718504,0.707421,0.70134,0.784453,0.788785,0.793493,0.798478,0.82622,0.846008,0.863404,0.876439,0.863106,0.887995,0.905557,0.919566,0.856213,0.802416,0.700141,0.604041,0.53867,0.543215,0.415577,0.333937,0.255011,0.526551,0.376339,0.277224,0.183882,0.546012,0.410701,0.316429,0.228185,0.588713,0.481005,0.40789,0.33662,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2739,'2024/11/28 11:20:07:221',9,0.784741,0.724441,0.686154,0.666877,0.631692,0.729308,0.71098,0.699662,0.693682,0.776584,0.780191,0.784476,0.789396,0.818235,0.838416,0.854758,0.867094,0.854833,0.880148,0.897688,0.911669,0.858667,0.804536,0.702366,0.60628,0.53947,0.543131,0.416415,0.33543,0.256651,0.525271,0.374636,0.274985,0.181841,0.543277,0.408588,0.314296,0.227595,0.58531,0.477763,0.404667,0.333627,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2740,'2024/11/28 11:20:07:259',9,0.782346,0.721015,0.680913,0.660101,0.624955,0.722868,0.702811,0.690506,0.683736,0.770816,0.773373,0.777293,0.781659,0.812509,0.832017,0.848084,0.859485,0.849283,0.874742,0.892686,0.906419,0.86235,0.809129,0.707431,0.610155,0.539896,0.546994,0.418558,0.336439,0.256372,0.527929,0.37738,0.278205,0.183854,0.544321,0.411657,0.317027,0.229185,0.58469,0.478507,0.406276,0.335653,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2741,'2024/11/28 11:20:07:300',9,0.776025,0.715276,0.674933,0.652819,0.618192,0.715807,0.694494,0.680969,0.672908,0.763595,0.76592,0.768643,0.771765,0.805236,0.825627,0.840089,0.850907,0.841662,0.867704,0.884292,0.896998,0.875849,0.818467,0.718344,0.62377,0.551945,0.554728,0.426958,0.344855,0.265856,0.536446,0.385598,0.286375,0.193272,0.555025,0.420868,0.325171,0.237533,0.599494,0.495815,0.422634,0.351574,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2742,'2024/11/28 11:20:07:347',9,0.775357,0.715522,0.675101,0.65161,0.617974,0.717081,0.696233,0.682745,0.674567,0.764813,0.766883,0.768774,0.770262,0.806207,0.825491,0.83869,0.847841,0.842644,0.866527,0.883828,0.897538,0.883839,0.822707,0.724413,0.632361,0.559496,0.564078,0.436009,0.354278,0.274032,0.546998,0.39529,0.294083,0.197937,0.566154,0.431074,0.334527,0.244421,0.610388,0.503772,0.43123,0.361363,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2743,'2024/11/28 11:20:07:381',9,0.776692,0.715137,0.675449,0.653107,0.619173,0.717602,0.696735,0.682486,0.673061,0.765691,0.767223,0.769195,0.770865,0.807601,0.82571,0.838742,0.847671,0.844257,0.867341,0.883666,0.896665,0.894829,0.834279,0.733472,0.640472,0.568496,0.572829,0.444962,0.363035,0.28273,0.556005,0.406396,0.306044,0.209963,0.57569,0.442172,0.345854,0.254934,0.619483,0.512428,0.438673,0.366399,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2744,'2024/11/28 11:20:07:401',9,0.777795,0.716619,0.676147,0.654119,0.622166,0.71822,0.698313,0.685061,0.676791,0.766351,0.768513,0.771018,0.773121,0.808779,0.827951,0.841198,0.850358,0.846142,0.870601,0.88646,0.898387,0.900925,0.839983,0.741581,0.651343,0.578963,0.579159,0.451784,0.370052,0.290043,0.563809,0.414655,0.31491,0.220745,0.584387,0.450126,0.354006,0.263569,0.629342,0.520946,0.445002,0.37076,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2745,'2024/11/28 11:20:07:420',9,0.78162,0.719564,0.68051,0.658587,0.625196,0.722247,0.701935,0.688301,0.679477,0.770304,0.771511,0.774225,0.776401,0.813031,0.832275,0.845334,0.854033,0.850865,0.875937,0.892255,0.905265,0.905565,0.844714,0.746196,0.655346,0.582238,0.585439,0.45767,0.375313,0.294671,0.570234,0.421573,0.323046,0.230296,0.590777,0.457288,0.36115,0.270857,0.634775,0.525044,0.449581,0.375617,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
